First Author,Last Author,Year,DOI,Journal,Species,Detection,Detection Notes,MUA Z-score Thresh. (STD),SWR Z-score Thresh. (STD),Animal Speed (cm/s),MUA smooth (ms),SWR smooth (ms),Min. Cells (#),SWR electrodes (#),SWR Low Band (Hz),SWR High Band (Hz),Min. Duration (ms),Max Duration (ms),Combine Events Thresh. (ms),Decoding,Time bin (ms),Position bin (cm),Place field smooth (cm),Trajectory,Decoding notes,Reconst. Error (cm),% Decoded,Spike sorting,Time bin step (ms),Shuffle Method,Shuffles (#),Sig. Thresh.,% Decoded denom.,Reconst. Error bin (ms)
Ambrose,Foster,2016,https://doi.org/10.1016/j.neuron.2016.07.047,Neuron,Rats,SWR,SWR,#N/A,3,5,#N/A,12.5,#N/A,4-7,150,250,Not reported,Not reported,#N/A,Bayes,20,1.8,3,Weighted correlation,"Primary replay criterion is weighted correlation >0.6; verification uses a stricter 0.7 threshold or 1500 posterior shuffles with p<0.05 (main Methods and supplementary Tables S2-S3). Supplement Table S1 gives 738/3312 replays/SWRs in experiment 1, 409/2636 in experiment 2, and 1147/5948 pooled (19.3%). Behavioral bins with error <10 cm range from 74-95% for bidirectional and 74-96% for directional decoding; these are accuracy fractions, not a pooled mean reconstruction error. The full supplement gives no detector-duration limit.",Not reported,19.3% pooled (22.3% experiment 1; 15.5% experiment 2),Sorted,10,none for the primary criterion; Monte Carlo shuffle of the posterior for verification,1500,weighted correlation >0.6 (primary); >0.7 or p<0.05 (verification),SWRs (5948 total; Table S1),200
Jadhav,Frank,2016,https://doi.org/10.1016/j.neuron.2016.02.010,Neuron,Rats,SWR,SWR,#N/A,3,4,#N/A,4,4,>1,150,250,15,#N/A,#N/A,Bayes,15,2,4,Linear regression,,Not reported,Not reported,Sorted,15,Time-bin shuffle,500,p<0.05,#N/A,#N/A
Ólafsdóttir,Barry,2016,https://doi.org/10.1038/nn.4291,Nature Neuroscience,Rats,MUA,"MU activity from place cells, 1 ms bins, Gaussian 5 ms
peak >3 SD above the mean, boundaries where activity returns to the mean
events <40 ms or using <15% of the place-cell ensemble rejected",3,#N/A,#N/A,5,#N/A,15% of ensemble,#N/A,#N/A,#N/A,40,#N/A,#N/A,Bayes,10,2,10,Radon transform,"Exhaustive line-fit search over velocity and intercept / Methods: 10 ms replay bins, 100 independent place-field rotations and p<0.2 for the main analysis; strongest replay subset uses p<0.025. Mean behavioral reconstruction error is 20 cm with 500 ms bins. Fraction 41.7% is derived from 1826/4382 putative events. Nonoverlapping steps are inferred from binning; released fitting functions take bin size as an argument and do not supply a detector caller.",20 (mean),41.7%,Sorted,10 (inferred nonoverlapping),Independent place-field rotation,100,P<0.2 vs own shuffle,putative events,500
Silva,Foster,2015,https://doi.org/10.1038/nn.4151,Nature Neuroscience,Rats,MUA,MUA,3,#N/A,5,10,#N/A,#N/A,#N/A,#N/A,#N/A,100,500,#N/A,Bayes,20,2.5,5,"Weighted correlation, Linear regression, MAP","Trajectory events are selected by weighted-correlation and maximum-jump criteria; 5000 posterior column-cycle shuffles test the number of qualifying events. The p<0.05 result is an aggregate count test, not a per-event selection threshold.",4.34,Not reported,Sorted,20,Column-cycle (event-count test); Poisson and time-swap controls,5000,Criteria-based events; p<0.05 on counts,#N/A,250
Ólafsdóttir,Spiers,2015,https://doi.org/10.7554/eLife.06063,eLife,Rats,MUA,"MUA / bounded by >= 50 ms of silence / If 15% of a template's cells fire within 300 ms, then event (per template; >= 4 cells for rat R1838) / >= 7 active cells for decoding / GOAL-CUE events only: speed < 10 cm/s and within 20 cm of the barrier",#N/A,#N/A,#N/A,#N/A,#N/A,7,#N/A,#N/A,#N/A,#N/A,300,#N/A,"
Template Matching
Bayes",5,1,2,Radon transform,,10,Not reported,Sorted,5,Cell-ID shuffle,1000,95th percentile,#N/A,200
Pfeiffer,Foster,2015,https://doi.org/10.1126/science.aaa9633,Science,Rats,SWR,SWR,#N/A,3,5,#N/A,12.5,#N/A,>1,150,250,50,2000,#N/A,Bayes,20,2,4,Posterior center of mass,"Exclude events:
steps (<10)
start-to-end distance (<80 cm)",Not reported,Not reported,Sorted,5,none (jump and start-to-end distance criteria),#N/A,#N/A,#N/A,#N/A
Wu,Foster,2014,https://doi.org/10.1523/JNEUROSCI.3414-13.2014,Journal of Neuroscience,Rats,MUA,"MUA / Separate ripple analysis uses 13-15 tetrodes, 150-250 Hz, Gaussian SD 8 ms and peak >2.5 SD. The >=50 ms condition applies to a decoded single-arm sequence, not the MUA candidate.",2,2.5,5,15,8,#N/A,13-15,150,250,#N/A,#N/A,#N/A,Bayes,10,1.8-1.9,9-9.5,Weighted correlation,,Not reported,Not reported,Sorted,10,"Place-field circular shift (on cumulative counts, not per event)",5000,|weighted correlation|>0.5 per event; p<0.05 on counts,#N/A,#N/A
Wikenheiser,Redish,2013,https://doi.org/10.1002/hipo.22049,Hippocampus,Rats,SWR,150 ms window centered on times when ripple power exceeded the threshold; overlapping windows joined / at least 3 cells firing at least 5 spikes in total / theta/delta ratio,#N/A,1,2,#N/A,#N/A,3,Not reported,140,220,#N/A,#N/A,#N/A,Bayes,10,4,#N/A,Linear regression,Only time steps with at least 1 spike included,Not reported,28%,Sorted,10,Bootstrap of Karlsson & Frank 2009 (not described),#N/A,p<0.05,candidate ripples,#N/A
Pfeiffer,Foster,2013,https://doi.org/10.1038/nature12112,Nature,Rats,MUA,MUA,3,#N/A,5,10,#N/A,10%,#N/A,#N/A,#N/A,50,2000,#N/A,Bayes,20,2,4,MAP,"Exclude events:
steps (<10)
start-to-end distance (<40 cm)",Not reported,25.3-43.9%,Sorted,5,Cell-ID shuffle; place-field shift,5000,Criteria-based events; all p<0.02 under both shuffles in verification,candidate events,#N/A
Carr,Frank,2012,https://doi.org/10.1016/j.neuron.2012.06.014,Neuron,Rats,SWR,SWR,#N/A,3,4,#N/A,4,5,>1,150,250,15,#N/A,#N/A,Bayes,15,2,4,Linear regression,,Not reported,Not reported,Sorted,15,Time-bin order shuffle,10000,p<0.05,#N/A,#N/A
Bendor,Wilson,2012,https://doi.org/10.1038/nn.3203,Nature Neuroscience,Rats,MUA,MUA / bounds where z >= 2 (peak z >= 4),4,#N/A,#N/A,15,#N/A,#N/A,#N/A,#N/A,#N/A,50,#N/A,50,Bayes,10,Not reported,Not reported,Weighted average,,Not reported,Not reported,Sorted,Not reported,none,#N/A,#N/A,#N/A,#N/A
Gupta,Redish,2010,https://doi.org/10.1016/j.neuron.2010.01.034,Neuron,Rats,SWR,SWR,#N/A,2,Not reported,#N/A,#N/A,3,>1,180,220,40,600,#N/A,"Custom Sequence
 detection
Bayes",40-600 (adaptive sequence window),3.5,#N/A,#N/A,The custom sequence detector scans in 10 ms steps using flexible 40-600 ms windows. A 10 ms scan step is not a 10 ms Bayesian decoding window; the supplementary Bayesian control does not specify its own numerical window here.,Not reported,10%,Sorted,10,Within-event spike-time shuffle; cell-ID shuffle,300,95th percentile (both),candidate events,#N/A
Karlsson,Frank,2009,https://doi.org/10.1038/nn.2344,Nature Neuroscience,Rats,SWR,SWR,#N/A,3,2,#N/A,4,5,>1,150,250,15,#N/A,#N/A,Bayes,15,2,4,Linear regression,,Not reported,47%,Sorted,15,Time-bin order shuffle; cell-ID shuffle (control),10000,p<0.05,candidate events,#N/A
Davidson,Wilson,2009,https://doi.org/10.1016/j.neuron.2009.07.027,Neuron,Rats,MUA,MUA,3,#N/A,5,15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Bayes,20,10,5,Radon transform,,"7 cm, 9 cm, 8 cm, 8 cm for each rat",16%,Sorted,20,Column-cycle shuffle; unit-identity shuffle; pseudoevent shuffle,1500,p<0.01 under all three,candidate events,500
Diba,Buzsáki,2007,https://doi.org/10.1038/nn1961,Nature Neuroscience,Rats,MUA,"MUA / Detected spiking silent periods (>=60 ms) / If >=5 cells (or >30%) spiked in the next 300 ms, / this was an event / Events follow >=60 ms silence and require >=max(5,30% of template cells) within 300 ms. Separate ripple cross-correlation uses 100-300 Hz RMS, peak 2 SD and onset 1.5 SD.",#N/A,2,10,#N/A,#N/A,5,1,100,300,#N/A,300,#N/A,Rank order correlation,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,Sorted,#N/A,Cell-ID shuffle,500,95th percentile,#N/A,#N/A
Ji,Wilson,2007,https://doi.org/10.1038/nn1825,Nature Neuroscience,Rats,MUA,"MUA / spike count threshold determined empirically from distribution / frames are merged across gaps shorter than the per-animal frame gap threshold / Separate ripple detector uses rectified 80-250 Hz voltage, bounds 3 x SD, peak 7 x SD, grouping gaps <50 ms. Frame merging uses per-animal hippocampal gaps of 70-90 ms. / Supplementary Fig. 12: hippocampal interframe gaps are 90, 70, 90 and 80 ms for animals 1-4; cortical gaps differ.",Adaptive,7 x SD (not z-scored),#N/A,30,#N/A,4,#N/A,80,250,#N/A,#N/A,70-90,Template matching,#N/A,2,#N/A,#N/A,,#N/A,#N/A,Sorted,#N/A,Analytic combinatorial match probability; template cell-ID shuffle (population-level),#N/A,p<0.05,#N/A,#N/A
Foster,Wilson,2006,https://doi.org/10.1038/nature04587,Nature,Rats,MUA,"MUA / spikes separated by more than 50 ms / stopping periods, facing the direction just run / The 50 ms grouping entry is the maximum gap between successive pooled spikes, not merging of already-detected ripple intervals.",#N/A,#N/A,#N/A,#N/A,#N/A,1/3 of template cells,#N/A,#N/A,#N/A,#N/A,500,50,Rank order correlation,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,Sorted,#N/A,Cell-order permutation,100,p<0.05,#N/A,#N/A
Lee,Wilson,2002,https://doi.org/10.1016/S0896-6273(02)01096-6,Neuron,Rats,MUA,"MUA
spikes grouped within a cell by max_isi (50 ms), bursts split between cells by max_gap (100 ms)
REM identified by theta (5-12 Hz) to total power ratio; SWS is the remainder
visual inspection of animal state",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,Template matching,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,Sorted,#N/A,Shuffled RUN template sequences; cell-shuffled templates,#N/A,match probability <=1/24,#N/A,#N/A
Nádasdy,Buzsáki,1999,https://doi.org/10.1523/JNEUROSCI.19-21-09497.1999,Journal of Neuroscience,Rats,SWR,"SWR / Template matching searches spike trains directly; ripple parameters describe separate EEG/participation analyses and do not gate sequence discovery. / Cited Csicsvari 1999a Methods: 150-250 Hz filtered RMS is computed per electrode and summed across electrodes, then compared with 7 SD. The RMS window is not specified.",#N/A,7,#N/A,#N/A,#N/A,#N/A,>1,150,250,#N/A,#N/A,#N/A,Template matching,"5, 6.7, 10 (analysis variants)",#N/A,#N/A,#N/A,"Template/sequence analysis uses multiple resolutions (5, 6.7 and 10 ms); 10 ms is not a universal Bayesian decoding window. Methods describe p<0.01; Figure 6 describes p<=0.01 against 100 surrogates.",#N/A,#N/A,Sorted,#N/A,ISI shuffle; temporal jitter; across-train shuffle; phase-invariant shuffle,100,p<0.01 (Methods); p<=0.01 (Fig. 6),#N/A,#N/A
Kudrimoti,McNaughton,1999,https://doi.org/10.1523/JNEUROSCI.19-10-04090.1999,Journal of Neuroscience,Rats,SWR,"SWR
visual inspection of animal state",#N/A,Not reported,#N/A,#N/A,#N/A,#N/A,1,100,300,25,#N/A,#N/A,"Correlation, 100 ms bins",100,#N/A,#N/A,#N/A,,#N/A,#N/A,Sorted,100,none,#N/A,#N/A,#N/A,#N/A
